project_id,carrier_id,source_file,source_row_number,ingestion_timestamp_utc,as_of_date,effective_date,expiration_date,gross_premium,net_premium,commission_amount,ceded_commission_amount,commission_rate_pct,quota_share_pct,penal_amount,product_name,premium_state,principal_name,principal_address,broker_name,broker_state,obligee_name,obligee_state,zip_code,zip_valid_format,zip_in_hud,zip_error_reason,zip_valid_flag,state_fips,county_fips,tract_fips,tract_match_ratio,tract_match_flag,tract_error_reason,cejst_disadvantaged,lidac_eligible,lidac_reason
C003_000002,C003,C003_20251201_bordereaux.xlsx,3,2025-12-02 09:09:01.074640+00:00,2025-12-02 00:00:00+00:00,2024-10-22,2025-10-22,4609.56,4268.08,1067.11,341.48,0.2315,0.32,30353.56,Solar EPC Performance Bond,WA,BrightFuture Renewables,"8282 Main St, WA 98004",Atlantic Surety Group,MA,County Infrastructure Board,CA,98004,True,True,,True,53,033,53033023807,0.1850302978578134,True,,,,
C003_000003,C003,C003_20251201_bordereaux.xlsx,4,2025-12-02 09:09:01.074640+00:00,2025-12-02 00:00:00+00:00,2025-05-02,2026-05-02,63349.65,58985.24,11795.7,4364.41,0.1862,0.37,316102.08,Storage + Solar Combo Bond,GA,BrightFuture Renewables,"8839 Energy Blvd, GA 30303",SolarSure Brokers,TX,County Infrastructure Board,CA,30303,True,True,,True,13,121,13121011901,0.5061124694376528,True,,,,
C003_000005,C003,C003_20251201_bordereaux.xlsx,6,2025-12-02 09:09:01.074640+00:00,2025-12-02 00:00:00+00:00,2023-09-22,2024-09-21,71884.91,65599.44,10653.34,6285.47,0.1482,0.59,326721.01,Storage + Solar Combo Bond,CO,NovaGrid Power Solutions,"2774 Solar Way, CO 80202",Blue Horizon Brokerage,CO,State Renewable Development Fund,GA,80202,True,True,,True,08,031,08031001705,0.188263783296728,True,,,,
C003_000006,C003,C003_20251201_bordereaux.xlsx,7,2025-12-02 09:09:01.074640+00:00,2025-12-02 00:00:00+00:00,2025-10-15,2026-10-15,9541.49,8681.87,1456.99,859.62,0.1527,0.59,119117.92,Solar Decommissioning Bond,WA,BrightFuture Renewables,"703 Solar Way, WA 98004",Blue Horizon Brokerage,GA,Commonwealth Energy Authority,TX,98004,True,True,,True,53,033,53033023807,0.1850302978578134,True,,,,
C003_000007,C003,C003_20251201_bordereaux.xlsx,8,2025-12-02 09:09:01.074640+00:00,2025-12-02 00:00:00+00:00,2023-03-29,2024-03-28,67122.73,62818.89,14840.84,4303.84,0.2211,0.29,451147.66,Solar EPC Performance Bond,WA,BrightFuture Renewables,"807 Main St, WA 98109",Evergreen Risk Advisors,PA,County Infrastructure Board,GA,98109,True,True,,True,53,033,53033007303,0.1439698583487302,True,,,,
C003_000011,C003,C003_20251201_bordereaux.xlsx,12,2025-12-02 09:09:01.074640+00:00,2025-12-02 00:00:00+00:00,2025-03-27,2026-03-27,46391.41,44710.0,6466.96,1681.41,0.1394,0.26,191590.26,Community Solar Performance Bond,GA,GreenBeam Energy Inc.,"6741 Solar Way, CO 80202",SolarSure Brokers,WA,Metropolitan Transit Authority,PA,80202,True,True,,True,08,031,08031001705,0.188263783296728,True,,,,
C003_000015,C003,C003_20251201_bordereaux.xlsx,16,2025-12-02 09:09:01.074640+00:00,2025-12-02 00:00:00+00:00,2023-06-25,2024-06-24,17559.57,15296.91,4040.46,2262.66,0.2301,0.56,235888.52,Solar Decommissioning Bond,GA,NovaGrid Power Solutions,"9743 Renewal Ave, TX 75201",Summit Risk Partners,MA,State Renewable Development Fund,WA,75201,True,True,,True,48,113,48113003103,0.1955996281375891,True,,,,
C003_000016,C003,C003_20251201_bordereaux.xlsx,17,2025-12-02 09:09:01.074640+00:00,2025-12-02 00:00:00+00:00,2025-07-02,2026-07-02,66625.93,62121.88,7901.84,4504.05,0.1186,0.57,869038.5,Storage + Solar Combo Bond,GA,NovaGrid Power Solutions,"8855 Renewal Ave, GA 30303",Blue Horizon Brokerage,TX,State Renewable Development Fund,PA,30303,True,True,,True,13,121,13121011901,0.5061124694376528,True,,,,
C003_000017,C003,C003_20251201_bordereaux.xlsx,18,2025-12-02 09:09:01.074640+00:00,2025-12-02 00:00:00+00:00,2023-09-01,2024-08-31,47333.0,42051.92,10777.72,5281.08,0.2277,0.49,419206.88,Storage + Solar Combo Bond,CO,Sunrise Solar LLC,"363 Renewal Ave, CO 80202",Summit Risk Partners,TX,Metropolitan Transit Authority,MA,80202,True,True,,True,08,031,08031001705,0.188263783296728,True,,,,
C003_000019,C003,C003_20251201_bordereaux.xlsx,20,2025-12-02 09:09:01.074640+00:00,2025-12-02 00:00:00+00:00,2023-10-19,2024-10-18,35836.69,32517.42,7719.22,3319.27,0.2154,0.43,156727.48,Community Solar Performance Bond,GA,Sunrise Solar LLC,"7085 Renewal Ave, GA 30303",Blue Horizon Brokerage,WA,State Renewable Development Fund,WA,30303,True,True,,True,13,121,13121011901,0.5061124694376528,True,,,,
C003_000021,C003,C003_20251201_bordereaux.xlsx,22,2025-12-02 09:09:01.074640+00:00,2025-12-02 00:00:00+00:00,2025-08-30,2026-08-30,61511.94,55443.3,11238.23,6068.64,0.1827,0.54,743917.3,Solar EPC Performance Bond,GA,BrightFuture Renewables,"2642 Renewal Ave, GA 30308",Summit Risk Partners,WA,State Renewable Development Fund,TX,30308,True,True,,True,13,121,13121001902,0.1724083521800873,True,,,,
C003_000023,C003,C003_20251201_bordereaux.xlsx,24,2025-12-02 09:09:01.074640+00:00,2025-12-02 00:00:00+00:00,2025-06-27,2026-06-27,6555.86,5950.92,1440.32,604.94,0.2197,0.42,61333.44,Solar Interconnection Bond,WA,EcoArray Development Partners,"4700 Solar Way, WA 98004",Evergreen Risk Advisors,PA,Metropolitan Transit Authority,CA,98004,True,True,,True,53,033,53033023807,0.1850302978578134,True,,,,
C003_000025,C003,C003_20251201_bordereaux.xlsx,26,2025-12-02 09:09:01.074640+00:00,2025-12-02 00:00:00+00:00,2024-12-18,2025-12-18,69990.68,66505.77,16594.79,3484.91,0.2371,0.21,478083.09,Storage + Solar Combo Bond,CA,EcoArray Development Partners,"4560 Main St, CA 92101",Blue Horizon Brokerage,MA,Commonwealth Energy Authority,PA,92101,True,True,,True,06,073,06073005202,0.1073395467062063,True,,,,
C003_000026,C003,C003_20251201_bordereaux.xlsx,27,2025-12-02 09:09:01.074640+00:00,2025-12-02 00:00:00+00:00,2023-05-04,2024-05-03,53642.54,49778.67,11039.63,3863.87,0.2058,0.35,241254.64,Storage + Solar Combo Bond,GA,Sunrise Solar LLC,"8289 Renewal Ave, GA 30303",Summit Risk Partners,MA,Commonwealth Energy Authority,CA,30303,True,True,,True,13,121,13121011901,0.5061124694376528,True,,,,
C003_000027,C003,C003_20251201_bordereaux.xlsx,28,2025-12-02 09:09:01.074640+00:00,2025-12-02 00:00:00+00:00,2025-07-05,2026-07-05,28361.79,27401.74,3840.19,960.05,0.1354,0.25,294288.35,Storage + Solar Combo Bond,CO,EcoArray Development Partners,"1712 Renewal Ave, CO 80202",SolarSure Brokers,TX,Metropolitan Transit Authority,CO,80202,True,True,,True,08,031,08031001705,0.188263783296728,True,,,,
C003_000028,C003,C003_20251201_bordereaux.xlsx,29,2025-12-02 09:09:01.074640+00:00,2025-12-02 00:00:00+00:00,2025-04-01,2026-04-01,23337.26,20456.88,4966.17,2880.38,0.2128,0.58,221826.82,Storage + Solar Combo Bond,CA,EcoArray Development Partners,"3015 Main St, CA 94105",Blue Horizon Brokerage,GA,City of Bloomsburg,CO,94105,True,True,,True,06,075,06075061503,0.272220748209074,True,,,,
C003_000030,C003,C003_20251201_bordereaux.xlsx,31,2025-12-02 09:09:01.074640+00:00,2025-12-02 00:00:00+00:00,2025-10-29,2026-10-29,2010.55,1873.47,472.68,137.08,0.2351,0.29,22486.59,Solar Decommissioning Bond,WA,EcoArray Development Partners,"2277 Solar Way, WA 98004",Atlantic Surety Group,TX,State Renewable Development Fund,CO,98004,True,True,,True,53,033,53033023807,0.1850302978578134,True,,,,
C003_000031,C003,C003_20251201_bordereaux.xlsx,32,2025-12-02 09:09:01.074640+00:00,2025-12-02 00:00:00+00:00,2025-08-16,2026-08-16,10435.56,10029.45,1765.7,406.11,0.1692,0.23,76342.28,Storage + Solar Combo Bond,TX,BrightFuture Renewables,"3045 Main St, CA 92101",Summit Risk Partners,TX,City of Bloomsburg,CA,92101,True,True,,True,06,073,06073005202,0.1073395467062063,True,,,,
C003_000032,C003,C003_20251201_bordereaux.xlsx,33,2025-12-02 09:09:01.074640+00:00,2025-12-02 00:00:00+00:00,2025-10-31,2026-10-31,38451.67,36277.46,6794.41,2174.21,0.1767,0.32,232855.61,Solar Interconnection Bond,GA,BrightFuture Renewables,"4130 Solar Way, WA 98109",Atlantic Surety Group,WA,State Renewable Development Fund,TX,98109,True,True,,True,53,033,53033007303,0.1439698583487302,True,,,,
C003_000033,C003,C003_20251201_bordereaux.xlsx,34,2025-12-02 09:09:01.074640+00:00,2025-12-02 00:00:00+00:00,2023-08-09,2024-08-08,59068.53,52054.38,12989.17,7014.15,0.2199,0.54,839654.24,Solar Interconnection Bond,TX,Sunrise Solar LLC,"4738 Renewal Ave, TX 75201",Evergreen Risk Advisors,GA,State Renewable Development Fund,PA,75201,True,True,,True,48,113,48113003103,0.1955996281375891,True,,,,
C003_000034,C003,C003_20251201_bordereaux.xlsx,35,2025-12-02 09:09:01.074640+00:00,2025-12-02 00:00:00+00:00,2023-05-23,2024-05-22,18195.66,17350.65,1965.13,845.01,0.108,0.43,253578.08,Storage + Solar Combo Bond,TX,BrightFuture Renewables,"7039 Energy Blvd, TX 77002",Summit Risk Partners,GA,State Renewable Development Fund,TX,77002,True,True,,True,48,201,48201100001,0.4932639314145744,True,,,,
C003_000035,C003,C003_20251201_bordereaux.xlsx,36,2025-12-02 09:09:01.074640+00:00,2025-12-02 00:00:00+00:00,2025-12-15,2026-12-15,48290.96,45000.75,8436.43,3290.21,0.1747,0.39,349546.7,Community Solar Performance Bond,WA,NovaGrid Power Solutions,"8520 Renewal Ave, WA 98004",Evergreen Risk Advisors,TX,Commonwealth Energy Authority,CO,98004,True,True,,True,53,033,53033023807,0.1850302978578134,True,,,,
C002_000002,C002,C002_20251201_bordereaux.xlsx,3,2025-12-02 09:09:01.085116+00:00,2025-12-02 00:00:00+00:00,2024-05-07,2025-05-07,42795.38,38033.02,9337.95,4762.36,0.2182,0.51,598916.75,Solar Decommissioning Bond,PA,Sunrise Solar LLC,"9483 Renewal Ave, TX 77002",SolarSure Brokers,WA,City of Bloomsburg,WA,77002,True,True,,True,48,201,48201100001,0.4932639314145744,True,,,,
C002_000003,C002,C002_20251201_bordereaux.xlsx,4,2025-12-02 09:09:01.085116+00:00,2025-12-02 00:00:00+00:00,2023-03-06,2024-03-05,30603.03,28818.26,3718.27,1784.77,0.1215,0.48,393352.49,Solar Interconnection Bond,TX,GreenBeam Energy Inc.,"9788 Main St, TX 75201",Evergreen Risk Advisors,WA,State Renewable Development Fund,CO,75201,True,True,,True,48,113,48113003103,0.1955996281375891,True,,,,
C002_000005,C002,C002_20251201_bordereaux.xlsx,6,2025-12-02 09:09:01.085116+00:00,2025-12-02 00:00:00+00:00,2023-08-20,2024-08-19,64811.26,63249.31,7809.76,1561.95,0.1205,0.2,446823.65,Storage + Solar Combo Bond,PA,NovaGrid Power Solutions,"3604 Main St, WA 98109",SolarSure Brokers,CA,Metropolitan Transit Authority,MA,98109,True,True,,True,53,033,53033007303,0.1439698583487302,True,,,,
C002_000008,C002,C002_20251201_bordereaux.xlsx,9,2025-12-02 09:09:01.085116+00:00,2025-12-02 00:00:00+00:00,2025-07-01,2026-07-01,14912.53,13103.4,3479.09,1809.13,0.2333,0.52,164655.36,Storage + Solar Combo Bond,GA,GreenBeam Energy Inc.,"2972 Main St, GA 30308",Blue Horizon Brokerage,PA,County Infrastructure Board,PA,30308,True,True,,True,13,121,13121001902,0.1724083521800873,True,,,,
C002_000009,C002,C002_20251201_bordereaux.xlsx,10,2025-12-02 09:09:01.085116+00:00,2025-12-02 00:00:00+00:00,2023-04-09,2024-04-08,60906.82,57256.07,10140.99,3650.75,0.1665,0.36,483916.73,Solar Interconnection Bond,CO,EcoArray Development Partners,"6193 Solar Way, CO 80202",Atlantic Surety Group,CA,State Renewable Development Fund,TX,80202,True,True,,True,08,031,08031001705,0.188263783296728,True,,,,
C002_000013,C002,C002_20251201_bordereaux.xlsx,14,2025-12-02 09:09:01.085116+00:00,2025-12-02 00:00:00+00:00,2024-06-26,2025-06-26,37397.15,35139.41,8683.62,2257.74,0.2322,0.26,236848.98,Storage + Solar Combo Bond,WA,BrightFuture Renewables,"4109 Renewal Ave, WA 98109",Summit Risk Partners,MA,County Infrastructure Board,PA,98109,True,True,,True,53,033,53033007303,0.1439698583487302,True,,,,
C002_000015,C002,C002_20251201_bordereaux.xlsx,16,2025-12-02 09:09:01.085116+00:00,2025-12-02 00:00:00+00:00,2025-05-21,2026-05-21,73142.58,65000.35,14804.06,8142.23,0.2024,0.55,834951.5,Community Solar Performance Bond,CO,Sunrise Solar LLC,"3435 Renewal Ave, CO 80202",Blue Horizon Brokerage,GA,Commonwealth Energy Authority,TX,80202,True,True,,True,08,031,08031001705,0.188263783296728,True,,,,
C002_000017,C002,C002_20251201_bordereaux.xlsx,18,2025-12-02 09:09:01.085116+00:00,2025-12-02 00:00:00+00:00,2024-06-10,2025-06-10,48683.03,43022.17,9931.34,5660.86,0.204,0.57,645660.35,Solar EPC Performance Bond,PA,Sunrise Solar LLC,"3032 Energy Blvd, TX 75201",Summit Risk Partners,MA,City of Bloomsburg,CO,75201,True,True,,True,48,113,48113003103,0.1955996281375891,True,,,,
